key,0,1,2,3,4,5,6,row
189501,0,0,0,0.952,0.048,0,0,12
189502,0,0,0,0.923,0.077,0,0,12
189503,0,0,0,0.898,0.086,0.016,0,12
189504,0,0,0.003,0.885,0.083,0.021,0.008,12
189505,0,0,0.057,0.777,0.105,0.036,0.025,12
189506,0,0.016,0.077,0.654,0.119,0.07,0.064,12
189507,0.004,0.034,0.052,0.548,0.158,0.092,0.111,12
189508,0.008,0.038,0.072,0.529,0.184,0.087,0.081,12
189509,0.033,0.044,0.051,0.632,0.143,0.047,0.049,12
189510,0.043,0.047,0.076,0.648,0.13,0.005,0.049,12
189511,0.042,0.056,0.085,0.623,0.116,0.029,0.049,12
189512,0.024,0.053,0.112,0.631,0.084,0.05,0.046,12
189601,0.026,0.058,0.113,0.606,0.1,0.056,0.041,12
189602,0.013,0.044,0.085,0.722,0.069,0.025,0.041,12
189603,0.008,0.032,0.118,0.707,0.056,0.025,0.055,12
189604,0.007,0.044,0.132,0.628,0.103,0.013,0.073,12
189605,0.015,0.082,0.138,0.461,0.171,0.045,0.089,12
189606,0.015,0.072,0.18,0.504,0.105,0.062,0.063,12
189607,0.005,0.064,0.129,0.526,0.145,0.061,0.069,12
189608,0.016,0.082,0.182,0.482,0.128,0.036,0.075,12
189609,0.012,0.079,0.101,0.537,0.121,0.071,0.078,12
189610,0.002,0.044,0.092,0.616,0.151,0.045,0.05,12
189611,0.002,0.029,0.082,0.573,0.175,0.08,0.058,12
189612,0.015,0.038,0.09,0.618,0.158,0.037,0.044,12
189701,0.014,0.032,0.064,0.634,0.153,0.078,0.025,12
189702,0.002,0.034,0.071,0.602,0.181,0.079,0.032,12
189703,0.002,0.02,0.032,0.511,0.246,0.119,0.07,12
189704,0.002,0.023,0.031,0.638,0.146,0.121,0.041,12
189705,0.005,0.022,0.032,0.756,0.092,0.074,0.019,12
189706,0.017,0.015,0.037,0.754,0.088,0.052,0.037,12
189707,0.019,0.013,0.073,0.705,0.065,0.062,0.063,12
189708,0.011,0.021,0.08,0.753,0.053,0.03,0.051,12
189709,0.028,0.017,0.152,0.723,0.04,0.01,0.031,12
189710,0.029,0.047,0.21,0.588,0.051,0.041,0.033,12
189711,0.034,0.073,0.176,0.623,0.049,0.034,0.012,12
189712,0.019,0.061,0.188,0.623,0.035,0.062,0.012,12
189801,0.021,0.041,0.115,0.717,0.048,0.044,0.013,12
189802,0.025,0.051,0.125,0.7,0.058,0.024,0.017,12
189803,0.035,0.052,0.124,0.641,0.111,0.023,0.012,12
189804,0.054,0.038,0.133,0.666,0.082,0.015,0.012,12
189805,0.038,0.056,0.147,0.598,0.083,0.059,0.019,12
189806,0.048,0.069,0.093,0.615,0.087,0.062,0.026,12
189807,0.037,0.052,0.096,0.615,0.09,0.078,0.032,12
189808,0.038,0.064,0.076,0.625,0.08,0.1,0.017,12
189809,0.038,0.075,0.101,0.585,0.114,0.072,0.015,12
189810,0.023,0.058,0.138,0.535,0.149,0.068,0.029,12
189811,0.026,0.049,0.104,0.6,0.108,0.089,0.026,12
189812,0.021,0.051,0.104,0.683,0.088,0.041,0.012,12
189901,0.018,0.048,0.102,0.676,0.102,0.042,0.012,12
189902,0.035,0.02,0.101,0.628,0.163,0.034,0.02,12
189903,0.006,0.019,0.085,0.662,0.133,0.071,0.023,12
189904,0.01,0.057,0.077,0.751,0.079,0.019,0.007,12
189905,0.006,0.078,0.103,0.695,0.072,0.033,0.013,12
189906,0.006,0.082,0.097,0.693,0.081,0.027,0.013,12
189907,0.015,0.052,0.103,0.672,0.098,0.048,0.013,12
189908,0.024,0.073,0.101,0.643,0.076,0.066,0.016,12
189909,0.029,0.084,0.14,0.667,0.05,0.031,0,12
189910,0.013,0.1,0.168,0.598,0.078,0.031,0.013,12
189911,0.033,0.122,0.186,0.567,0.082,0.01,0,12
189912,0.021,0.128,0.182,0.607,0.06,0.002,0,12
190001,0.041,0.123,0.164,0.632,0.039,0,0,11
190002,0.052,0.056,0.092,0.762,0.022,0.004,0.012,11
190003,0.068,0.066,0.086,0.725,0.035,0.004,0.016,11
190004,0.031,0.09,0.095,0.642,0.086,0.038,0.02,11
190005,0.077,0.063,0.153,0.611,0.039,0.036,0.021,11
190006,0.112,0.088,0.116,0.521,0.105,0.04,0.019,11
190007,0.119,0.066,0.087,0.579,0.066,0.049,0.034,11
190008,0.121,0.062,0.099,0.628,0.019,0.043,0.029,11
190009,0.1,0.071,0.115,0.557,0.058,0.043,0.056,11
190010,0.096,0.091,0.104,0.552,0.051,0.056,0.05,11
190011,0.071,0.079,0.103,0.651,0.052,0.027,0.016,11
190012,0.091,0.092,0.084,0.677,0.028,0.019,0.009,11
190101,0.099,0.085,0.098,0.665,0.035,0.012,0.005,11
190102,0.069,0.096,0.134,0.636,0.048,0.014,0.003,11
190103,0.059,0.087,0.102,0.699,0.035,0.007,0.011,11
190104,0.057,0.076,0.094,0.735,0.015,0.011,0.012,11
190105,0.048,0.078,0.103,0.673,0.084,0.005,0.009,11
