x,y,category
5.669303,8.183317,5
15.640707,6.583423,0
0.8223578,14.785536,4
-4.210202,1.8359969,1
-0.84135133,11.235967,9
3.9523365,-1.1857737,2
-2.1074152,-4.073454,1
4.6446013,3.3685973,3
-2.7383084,-3.7239227,1
-2.2926157,14.778831,4
5.3939643,3.91071,3
3.6826582,9.65292,5
4.7331214,5.4037914,3
10.992652,4.599478,6
-1.6227592,-3.1887126,1
-4.243786,8.614167,7
3.6909833,-1.0215222,2
0.282901,4.85562,8
9.896332,3.9152536,6
-2.0964365,9.869761,9
1.3172641,14.582892,4
15.91919,6.720048,0
-1.732725,10.335737,9
-4.1705594,1.8955066,1
-2.5922177,-1.9497448,1
1.9483639,-1.6316369,2
-0.9449736,13.390715,4
4.7483244,4.1268826,3
-3.7407017,8.734511,2
-3.6999502,8.019158,7
4.9521217,5.609796,3
-0.18747795,4.7774324,8
10.107162,4.785579,6
-2.2280216,9.476437,9
15.164786,5.5976615,0
3.8152604,9.126064,5
10.084958,3.871253,6
15.349442,5.775804,0
-3.820315,11.132462,7
10.566363,4.421013,6
-3.3334422,-2.2136016,1
0.95976764,5.0962653,8
-3.6006665,10.755553,7
-2.0886257,10.115186,9
3.7407975,4.805825,3
-0.8921788,10.902712,9
1.7925967,5.9288626,8
4.638899,9.476982,5
3.4124486,5.3069897,9
4.7110963,3.8891308,3
5.8923864,4.7921906,3
15.248921,7.4495945,0
-5.162484,10.481555,7
-2.2146926,13.690223,4
-1.0037364,10.995784,9
0.46779895,5.6887283,8
14.578081,7.878148,0
-1.6355739,10.083402,9
0.46251285,14.106159,4
-3.687865,1.7292619,1
1.3645494,14.832037,4
-2.5339339,14.216055,4
10.107858,3.4308481,6
15.633165,6.8686314,0
-0.12848617,15.066923,4
3.640575,9.799711,5
10.607715,3.6474342,6
-2.8619754,-0.15545161,1
14.807304,8.618328,0
14.33483,6.131909,0
-1.941071,-2.4292262,1
-4.287977,8.407497,7
-1.8035991,-2.3767445,1
10.613748,4.032148,6
4.591953,4.9163713,3
15.148473,6.08671,0
1.5089396,-0.9655767,2
-3.7386737,0.9561488,1
-3.099422,0.75296587,1
-3.8894632,8.1360235,7
13.921685,6.5497956,9
15.12996,5.9755306,0
4.165503,-1.0475453,2
11.101386,4.2948356,6
-4.256274,10.612727,7
0.9590824,4.9392147,8
4.629351,5.856174,3
-1.0153474,9.9453125,9
14.513005,7.861175,0
-1.9021877,15.189785,4
10.965407,4.265518,6
-4.7960477,8.711997,7
0.36344117,14.121591,4
10.563867,4.0009155,6
0.65972716,5.56977,8
14.948649,6.010639,0
-3.9521909,9.997227,7
0.4892139,5.2664914,8
4.531458,4.7915025,3
-3.9752564,0.896448,1
5.4193373,9.249204,5
-5.238272,9.791587,7
-1.8552228,-2.9201047,1
-4.5392094,9.412339,7
-1.7041987,-4.3653655,1
-2.9990382,0.73071176,1
10.104624,4.478709,6
5.470257,3.3491447,3
15.053554,8.662844,0
2.808798,0.33659148,2
1.02,12.676692,9
4.4459853,3.9800313,3
-3.3596418,-2.5164409,1
-2.9498322,1.5017383,1
15.898102,8.020086,0
-1.8227422,14.700077,4
-0.0662779,11.607611,9
2.3176703,-1.1736535,2
14.645561,6.956755,0
16.150223,6.6043305,0
-4.5035677,9.470653,2
15.233262,8.188077,0
2.527096,-1.2670577,2
-4.513439,8.316027,7
-2.226186,-1.4676956,1
1.1932327,4.97579,8
9.877576,4.347952,6
-2.4692485,14.951657,4
-2.6463656,-2.4913461,1
10.615743,3.238685,6
4.3069706,4.1342025,3
-2.2745323,14.772336,4
6.183652,5.5287223,5
-1.772066,10.960579,9
-1.4259864,-4.7620425,1
5.124455,3.1089902,3
4.295588,5.290091,3
0.46062604,4.9116883,8
6.041904,6.914285,5
-2.0384693,14.216271,4
-3.1209633,9.433615,7
-3.8299375,8.027929,7
-1.2488041,14.063377,4
2.6803668,-0.120580286,2
2.4162626,6.112005,8
3.9649975,9.623158,5
0.51416713,5.311457,8
10.318361,4.23565,6
-1.5969133,10.568887,7
4.6178966,4.703981,3
-1.1348296,13.086014,4
10.836294,4.241576,6
-2.2013268,-1.2245383,1
-1.9737574,10.074918,9
-4.5216236,10.8893795,9
10.803198,3.7079983,6
16.10626,7.876724,0
5.152239,3.0822246,3
-5.2981873,11.931293,7
2.9182694,-0.7377844,2
2.0554245,6.0949297,8
2.1008985,-1.8659887,2
-0.1792089,12.019051,9
-2.4116454,14.193833,4
1.0174097,14.680409,4
10.700745,3.9777617,6
-1.6936368,14.169498,4
-1.1429119,10.082054,9
-3.3102999,9.488304,7
14.809573,5.8910165,0
0.23784034,12.115559,9
2.5548444,-1.1842326,2
-4.836213,10.830129,9
3.5501056,9.433028,5
-3.5470984,-1.8880872,1
4.0188885,9.291698,5
-0.46990055,12.2758875,9
-3.7654874,0.32640082,1
4.70627,-1.6141403,2
4.553534,3.557874,3
1.3875004,-0.9689122,2
4.4684873,3.2593477,3
5.81132,6.5434375,5
-0.98747873,10.615309,9
-1.8003134,-3.7602615,1
-4.9938865,8.863121,7
10.19805,5.608873,6
2.0950787,-0.96783644,2
1.6547704,6.35753,8
2.5182397,-0.12040158,2
2.2541392,-0.9486447,2
3.9669409,9.718432,5
14.682443,6.40755,0
-4.8417125,8.717254,7
0.20298125,14.472675,4
-1.8470244,9.840013,9
-5.2924247,11.586186,7
0.18983172,4.747872,8
5.1910214,4.985339,3
3.2278106,-0.29690474,2
-1.9508005,-3.852717,1
-4.158175,1.9230398,1
0.5506317,4.8533263,8
4.4763803,3.3074756,3
10.004489,4.610889,6
-3.186186,1.9859084,1
15.150581,8.144019,0
4.929334,2.9706159,3
-2.9679065,-1.4239945,1
15.004572,8.413658,0
14.303331,6.9564047,0
-2.8706295,-1.2901931,1
-2.639722,-3.2875643,7
3.6711147,-1.3941041,2
-5.1406693,11.22403,7
5.532112,3.5205364,3
14.011099,6.496755,0
-0.6535148,14.005613,4
10.424192,5.338974,6
4.9532523,8.308671,5
1.9333109,-1.919838,2
11.274396,5.012595,6
1.2787192,14.8036175,4
-4.598368,9.172548,7
-3.434762,8.952185,1
0.61702555,4.749048,8
0.18701087,12.455857,9
-1.462216,11.03804,9
4.4071507,5.798844,3
14.879205,8.380161,0
-3.9018302,8.646653,7
-2.3005834,-1.0965645,1
13.988455,5.9163647,0
3.9387136,-1.8353504,2
14.707607,6.5557537,0
5.455768,3.2698243,3
5.2288723,9.221823,5
-0.6084847,14.426795,4
10.658924,5.113613,6
4.2811666,8.776601,5
1.5695037,5.176852,8
11.213575,5.8773813,6
5.6822867,3.859704,3
-4.6815724,9.521194,7
5.239975,7.1024203,5
0.5678563,4.8814282,8
14.718675,8.465985,0
-1.6361097,11.0640955,9
-1.8249489,-4.221072,1
15.04607,8.572648,0
2.5761056,0.66748434,3
-2.940608,-1.28252,1
2.0694325,-0.509705,2
4.6250596,-1.7860271,2
5.869065,4.96363,3
5.339388,3.2143106,3
9.982601,2.4576724,6
-1.5519111,14.622924,4
-3.5750787,9.682295,7
4.1519012,8.692736,5
16.233685,8.295482,0
10.985583,4.310563,6
10.681882,2.8599398,2
