region,year,pop_density
Afghanistan,2020,59.627
Africa,2020,45.216
African Group,2020,45.571
African Union,2020,45.182
African Union: Central Africa,2020,30.066
African Union: Eastern Africa,2020,61.404
African Union: Northern Africa,2020,29.429
African Union: Southern Africa,2020,31.143
African Union: Western Africa,2020,78.921
"African, Caribbean and Pacific (ACP) Group of States",2020,48.849
Albania,2020,105.029
Algeria,2020,18.411
American Samoa,2020,275.985
Andean Community,2020,30.413
Andorra,2020,164.394
Angola,2020,26.363
Anguilla,2020,166.689
Antigua and Barbuda,2020,222.564
Argentina,2020,16.515
Armenia,2020,104.083
Aruba,2020,593.144
Asia,2020,149.552
Asia-Pacific Economic Cooperation (APEC),2020,49.426
Asia-Pacific Group,2020,147.46
Association of Southeast Asian Nations (ASEAN),2020,154.26
Australia,2020,3.319
Australia/New Zealand,2020,3.816
Austria,2020,109.289
Azerbaijan,2020,122.664
BRIC,2020,85.664
BRICS,2020,84.499
Bahamas,2020,39.286
Bahrain,2020,2238.925
Bangladesh,2020,1265.187
Barbados,2020,668.305
Belarus,2020,46.569
Belgium,2020,382.748
Belize,2020,17.432
Belt-Road Initiative (BRI),2020,50.461
Belt-Road Initiative: Africa,2020,49.226
Belt-Road Initiative: Asia,2020,91.609
Belt-Road Initiative: Europe,2020,21.669
Belt-Road Initiative: Latin America and the Caribbean,2020,33.676
Belt-Road Initiative: Pacific,2020,20.51
Benin,2020,107.513
Bermuda,2020,1245.46
Bhutan,2020,20.243
Black Sea Economic Cooperation (BSEC),2020,18.538
Bolivarian Alliance for the Americas (ALBA),2020,26.739
Bolivia (Plurinational State of),2020,10.775
"Bonaire, Sint Eustatius and Saba",2020,79.942
Bosnia and Herzegovina,2020,64.33
Botswana,2020,4.149
Brazil,2020,25.431
British Virgin Islands,2020,201.58
Brunei Darussalam,2020,83.014
Bulgaria,2020,64.006
Burkina Faso,2020,76.401
Burundi,2020,463.037
Cape Verde,2020,137.962
Cambodia,2020,94.714
Cameroon,2020,56.157
Canada,2020,4.15
Caribbean,2020,192.613
Caribbean Community and Common Market (CARICOM),2020,43.582
Cayman Islands,2020,273.833
Central African Rep.,2020,7.753
Central America,2020,73.267
Central Asia,2020,18.931
Central European Free Trade Agreement (CEFTA),2020,87.771
Central and Southern Asia,2020,195.093
Chad,2020,13.045
Channel Islands,2020,915.047
Chile,2020,25.71
China,2020,153.312
China (and dependencies),2020,156.11
"China, Hong Kong SAR",2020,7139.989
"China, Macao SAR",2020,21717.124
"China, Taiwan Province of China",2020,672.6
Colombia,2020,45.861
Commonwealth of Independent States (CIS),2020,13.688
Commonwealth of Nations,2020,85.58
Commonwealth: Africa,2020,76.34
Commonwealth: Asia,2020,427.406
Commonwealth: Caribbean and Americas,2020,4.774
Commonwealth: Europe,2020,276.492
Commonwealth: Pacific,2020,4.917
Comoros,2020,467.273
Congo,2020,16.158
Cook Islands,2020,73.183
Costa Rica,2020,99.767
Countries with Access to the Sea,2020,63.752
Countries with Access to the Sea: Africa,2020,46.898
Countries with Access to the Sea: Asia,2020,183.546
Countries with Access to the Sea: Europe,2020,31.665
Countries with Access to the Sea: Latin America and the Caribbean,2020,34.041
Countries with Access to the Sea: Northern America,2020,19.777
Countries with Access to the Sea: Oceania,2020,5.029
Croatia,2020,73.361
Cuba,2020,106.413
Curaçao,2020,369.595
Cyprus,2020,130.667
Czechia,2020,138.646
Côte d'Ivoire,2020,82.951
Dem. People's Republic of Korea,2020,214.092
Dem. Rep. Congo,2020,39.506
Denmark,2020,136.512
Denmark (and dependencies),2020,12.983
Djibouti,2020,42.623
Dominica,2020,95.988
Dominican Republic,2020,224.501
ECE: North America-2,2020,20.215
ECE: UNECE-52,2020,28.742
ECLAC: Latin America,2020,32.709
ECLAC: The Caribbean,2020,23.975
ESCAP region: East and North-East Asia,2020,143.537
ESCAP region: North and Central Asia,2020,11.588
ESCAP region: Pacific,2020,5.028
ESCAP region: South and South-West Asia,2020,282.396
ESCAP region: South-East Asia,2020,154.035
ESCAP: ADB Developing member countries (DMCs),2020,164.725
ESCAP: ADB Group A (Concessional assistance only),2020,72.81
ESCAP: ADB Group B (OCR blend),2020,286.743
ESCAP: ADB Group C (Regular OCR only),2020,129.745
ESCAP: ASEAN,2020,154.26
ESCAP: Central Asia,2020,22.26
ESCAP: ECO,2020,65.459
ESCAP: HDI groups,2020,88.982
ESCAP: Landlocked countries (LLDCs),2020,25.063
ESCAP: Least Developed Countries (LDCs),2020,151.069
ESCAP: Pacific island dev. econ.,2020,22.828
ESCAP: SAARC,2020,389.049
ESCAP: WB High income econ.,2020,26.466
ESCAP: WB Low income econ.,2020,102.38
ESCAP: WB Lower middle income econ.,2020,234.213
ESCAP: WB Upper middle income econ.,2020,58.628
ESCAP: WB income groups,2020,88.983
ESCAP: high HDI,2020,26.467
ESCAP: high income,2020,26.438
ESCAP: income groups,2020,88.982
ESCAP: low HDI,2020,301.292
ESCAP: low income,2020,280.886
ESCAP: lower middle HDI,2020,136.755
ESCAP: lower middle income,2020,89.642
ESCAP: other Asia-Pacific countries/areas,2020,51.745
ESCAP: upper middle HDI,2020,18.211
ESCAP: upper middle income,2020,58.228
ESCWA: Arab countries,2020,33.541
ESCWA: Arab least developed countries,2020,24.163
ESCWA: Gulf Cooperation Council countries,2020,22.8
ESCWA: Maghreb countries,2020,20.968
ESCWA: Mashreq countries,2020,106.02
ESCWA: member countries,2020,37.567
East African Community (EAC),2020,84.317
Eastern Africa,2020,66.803
Eastern Asia,2020,145.158
Eastern Europe,2020,16.231
Eastern European Group,2020,18.191
Eastern and South-Eastern Asia,2020,147.581
Economic Community of Central African States (ECCAS),2020,31.225
Economic Community of West African States (ECOWAS),2020,78.921
Economic Cooperation Organization (ECO),2020,65.459
Ecuador,2020,71.038
Egypt,2020,102.802
El Salvador,2020,313.041
Equatorial Guinea,2020,50.017
Eritrea,2020,35.113
Estonia,2020,31.294
Eswatini,2020,67.451
Ethiopia,2020,114.964
Eurasian Economic Community (Eurasec),2020,11.164
Europe,2020,33.776
Europe,2020,33.776
Europe (48),2020,33.776
Europe and Northern America,2020,27.374
European Community (EC: 12),2020,165.22
European Free Trade Agreement (EFTA),2020,28.613
European Union (EU: 15),2020,130.999
European Union (EU: 28),2020,121.029
Falkland Islands (Malvinas),2020,0.286
Faroe Islands,2020,35.004
Fiji,2020,49.066
Finland,2020,18.233
France,2020,119.209
France (and dependencies),2020,103.614
French Guiana,2020,3.634
French Polynesia,2020,76.75
Gabon,2020,8.638
Gambia,2020,238.801
Georgia,2020,57.406
Germany,2020,240.372
Ghana,2020,136.56
Gibraltar,2020,3369.1
Greater Arab Free Trade Area (GAFTA),2020,36.547
Greece,2020,80.862
Greenland,2020,0.138
Grenada,2020,330.938
Group of 77 (G77),2020,82.608
Group of Eight (G8),2020,25.225
Group of Seven (G7),2020,38.559
Group of Twenty (G20) - member states,2020,61.602
Guadeloupe,2020,245.778
Guam,2020,312.561
Guatemala,2020,167.185
Guinea,2020,53.446
Guinea-Bissau,2020,69.986
Gulf Cooperation Council (GCC),2020,22.8
Guyana,2020,3.996
Haiti,2020,413.735
High-income countries,2020,33.339
Holy See,2020,1838.636
Honduras,2020,88.521
Hungary,2020,106.709
Iceland,2020,3.404
India,2020,464.149
Indonesia,2020,150.987
Iran (Islamic Republic of),2020,51.575
Iraq,2020,92.61
Ireland,2020,71.677
Isle of Man,2020,149.179
Israel,2020,399.979
Italy,2020,205.555
Jamaica,2020,273.422
Japan,2020,346.934
